"id","Length","Invertebrates","Fish","Tetrapods","Region","PurportedSubspecies","Lineage"
78,66,0,1,0," cis-Andes","C. c.  crocodilus","C. c.  crocodilus"
53,63,0,0,0," cis-Andes","C. c.  crocodilus","C. c.  crocodilus"
84,62,1,0,0," cis-Andes","C. c.  crocodilus","C. c.  crocodilus"
66,65,1,1,0," cis-Andes","C. c.  crocodilus","C. c.  crocodilus"
919,53,0,1,0," cis-Andes","C. c.  crocodilus","C. c.  crocodilus"
87,45,1,0,0," cis-Andes","C. c.  crocodilus","C. c.  crocodilus"
75,43,1,0,0," cis-Andes","C. c.  crocodilus","C. c.  crocodilus"
90,39,1,0,0," cis-Andes","C. c.  crocodilus","C. c.  crocodilus"
92,36,1,0,1," cis-Andes","C. c.  crocodilus","C. c.  crocodilus"
58,36,1,0,0," cis-Andes","C. c.  crocodilus","C. c.  crocodilus"
89,36,1,0,0," cis-Andes","C. c.  crocodilus","C. c.  crocodilus"
7,36,1,0,0," cis-Andes","C. c.  crocodilus","C. c.  crocodilus"
91,34,1,0,0," cis-Andes","C. c.  crocodilus","C. c.  crocodilus"
56,34,1,1,0," cis-Andes","C. c.  crocodilus","C. c.  crocodilus"
66,119,0,1,1," cis-Andes","C. c.  crocodilus","C. c.  crocodilus"
42,118,0,1,0," cis-Andes","C. c.  crocodilus","C. c.  crocodilus"
8,94,0,0,1," cis-Andes","C. c.  crocodilus","C. c.  crocodilus"
54,93,1,0,1," cis-Andes","C. c.  crocodilus","C. c.  crocodilus"
13,91,0,0,0," cis-Andes","C. c.  crocodilus","C. c.  crocodilus"
18,86,0,1,1," cis-Andes","C. c.  crocodilus","C. c.  crocodilus"
72,86,0,0,0," cis-Andes","C. c.  crocodilus","C. c.  crocodilus"
11,81,0,0,1," cis-Andes","C. c.  crocodilus","C. c.  crocodilus"
47,81,1,0,0," cis-Andes","C. c.  crocodilus","C. c.  crocodilus"
17,79,0,0,0," cis-Andes","C. c.  crocodilus","C. c.  crocodilus"
68,79,1,1,1," cis-Andes","C. c.  crocodilus","C. c.  crocodilus"
14,77,0,0,0," cis-Andes","C. c.  crocodilus","C. c.  crocodilus"
15,77,0,1,0," cis-Andes","C. c.  crocodilus","C. c.  crocodilus"
